Dwayne Allen,IND
Gary Barnidge,CLE
Blake Bell,SFO
Martellus Bennett,CHI
E.J. Bibbs,CLE
Nick Boyle,BAL
Cameron Brate,TAM
Michael Burton,DET
Trey Burton,PHI
Jordan Cameron,MIA
Derek Carrier,WAS
Brent Celek,PHI
Garrett Celek,SFO
Scott Chandler,NWE
Charles Clay,BUF
Asante Cleveland,NWE
Chase Coffman,2TM
Jared Cook,STL
Jeff Cumberland,NYJ
Jerome Cunningham,NYG
Owen Daniels,DEN
Kellen Davis,NYJ
Vernon Davis,2TM
Ed Dickson,CAR
Larry Donnell,NYG
Jack Doyle,IND
Jim Dray,CLE
Eric Ebron,DET
Tyler Eifert,CIN
Rhett Ellison,MIN
Zach Ertz,PHI
Gavin Escobar,DAL
Anthony Fasano,TEN
Daniel Fells,NYG
Darren Fells,ARI
C.J. Fiedorowicz,HOU
Jake Fisher,CIN
Coby Fleener,IND
Antonio Gates,SDG
Crockett Gillmore,BAL
Chris Gragg,BUF
Garrett Graham,HOU
Jimmy Graham,SEA
MarQueis Gray,BUF
Ladarius Green,SDG
Virgil Green,DEN
Jermaine Gresham,ARI
Ryan Griffin,HOU
Rob Gronkowski,NWE
James Hanna,DAL
Clay Harbor,JAX
Cory Harkey,STL
Demetrius Harris,KAN
Cooper Helfet,SEA
Ryan Hewitt,CIN
Josh Hill,NOR
Michael Hoomanawanui,2TM
Rob Housler,2TM
Nic Jacobs,JAX
Jesse James,PIT
David Johnson,SDG
Travis Kelce,KAN
Lance Kendricks,STL
Tyler Kroft,CIN
Matt LaCosse,NYG
Kendall Lamm,HOU
Khari Lee,CHI
Brian Leonhardt,SFO
Marcedes Lewis,JAX
Zach Line,MIN
Vance McDonald,SFO
Heath Miller,PIT
Zach Miller,CHI
Tony Moeaki,ATL
Matthew Mulligan,BUF
Brandon Myers,TAM
Troy Niklas,ARI
Nick O'Leary,BUF
James O'Shaughnessy,KAN
Greg Olsen,CAR
Brian Parker,KAN
Justin Perillo,GNB
Brandon Pettigrew,DET
John Phillips,SDG
MyCole Pruitt,MIN
Andrew Quarless,GNB
Marcel Reece,OAK
Jordan Reed,WAS
Mychal Rivera,OAK
Richard Rodgers,GNB
Kyle Rudolph,MIN
Austin Seferian-Jenkins,TAM
Scott Simonson,CAR
Dion Sims,MIA
Lee Smith,OAK
Matt Spaeth,PIT
Craig Stevens,TEN
Luke Stocker,TAM
Jake Stoneburner,MIA
Phillip Supernaw,TEN
Geoff Swaim,DAL
Jacob Tamme,ATL
Julius Thomas,JAX
Levine Toilolo,ATL
Will Tye,NYG
C.J. Uzomah,CIN
Clive Walford,OAK
Delanie Walker,TEN
Ben Watson,NOR
Maxx Williams,BAL
Michael Williams,NWE
Luke Willson,SEA
Jason Witten,DAL
Tim Wright,DET
