Tyrod Taylor,BUF
Cecil Shorts,HOU
Jared Abbrederis,GNB
Davante Adams,GNB
Nelson Agholor,PHI
Kamar Aiken,BAL
Seyi Ajirotutu,PHI
Mario Alford,CIN
Keenan Allen,SDG
Danny Amendola,NWE
Miles Austin,PHI
Tavon Austin,STL
Jason Avant,KAN
Stedman Bailey,STL
Doug Baldwin,SEA
Cole Beasley,DAL
Odell Beckham,NYG
Josh Bellamy,CHI
Travis Benjamin,CLE
Brenton Bersin,CAR
Anquan Boldin,SFO
Dwayne Bowe,CLE
Kenny Britt,STL
Antonio Brown,PIT
Corey Brown,CAR
Daniel Brown,BAL
Jaron Brown,ARI
John Brown,ARI
Marlon Brown,BAL
Vincent Brown,SDG
Dez Bryant,DAL
Martavis Bryant,PIT
Brice Butler,DAL
Jeremy Butler,BAL
Andre Caldwell,DEN
Michael Campanaro,BAL
Derek Carrier,WAS
Sammie Coates,PIT
Randall Cobb,GNB
Brandon Coleman,NOR
Marques Colston,NOR
Chris Conley,KAN
Brandin Cooks,NOR
Amari Cooper,OAK
Riley Cooper,PHI
Jerricho Cotchery,CAR
Michael Crabtree,OAK
Jamison Crowder,WAS
B.J. Daniels,2TM
Geremy Davis,NYG
Eric Decker,NYJ
Stefon Diggs,MIN
Aaron Dobson,NWE
Phillip Dorsett,IND
Harry Douglas,TEN
Donteea Dye,TAM
Marcus Easley,BUF
Julian Edelman,NWE
Ben Edwards,NYG
Bruce Ellington,SFO
Quincy Enunwa,NYJ
Zach Ertz,PHI
Mike Evans,TAM
Larry Fitzgerald,ARI
Coby Fleener,IND
Malcom Floyd,SDG
Michael Floyd,ARI
Bennie Fowler,DEN
Corey Fuller,DET
Devin Funchess,CAR
Taylor Gabriel,CLE
Pierre Garcon,WAS
Ted Ginn,CAR
Chris Givens,2TM
Brittan Golden,ARI
Marquise Goodwin,BUF
T.J. Graham,NOR
Ryan Grant,WAS
A.J. Green,CIN
Dorial Green-Beckham,TEN
Rashad Greene,JAX
Jermaine Gresham,ARI
Leonard Hankerson,3TM
Justin Hardy,ATL
Chris Harper,NWE
Dwayne Harris,NYG
Brian Hartline,CLE
Percy Harvin,BUF
Andrew Hawkins,CLE
Javontee Herndon,SDG
Darrius Heyward-Bey,PIT
T.Y. Hilton,IND
Chris Hogan,BUF
Andre Holmes,OAK
DeAndre Hopkins,HOU
Josh Huff,PHI
Adam Humphries,TAM
Justin Hunter,TEN
Allen Hurns,JAX
Dontrelle Inman,SDG
DeSean Jackson,WAS
Vincent Jackson,TAM
Jeff Janis,GNB
Alshon Jeffery,CHI
Darius Jennings,CLE
Greg Jennings,MIA
Andre Johnson,IND
Calvin Johnson,DET
Charles Johnson,MIN
Steve Johnson,SDG
James Jones,GNB
Julio Jones,ATL
Marvin Jones,CIN
T.J. Jones,DET
Jermaine Kearse,SEA
Lance Kendricks,STL
Jeremy Kerley,NYJ
Jonathan Krause,PHI
Brandon LaFell,NWE
Jarvis Landry,MIA
Cody Latimer,DEN
Marqise Lee,JAX
Tyler Lockett,SEA
Ricardo Lockette,SEA
Jeremy Maclin,KAN
Marc Mariani,CHI
Bradley Marquez,STL
Brandon Marshall,NYJ
Keshawn Martin,NWE
Chris Matthews,2TM
Jordan Matthews,PHI
Rishard Matthews,MIA
Tre McBride,TEN
Dexter McCluster,TEN
Vance McDonald,SFO
Cameron Meredith,CHI
Donte Moncrief,IND
Ty Montgomery,GNB
Lance Moore,DET
Marlon Moore,CLE
Keith Mumphery,HOU
Louis Murphy,TAM
Tyler Murphy,PIT
JJ Nelson,ARI
Hakeem Nicks,NYG
Jordan Norwood,DEN
Chris Owusu,NYJ
DeVante Parker,MIA
Preston Parker,NYG
Cordarrelle Patterson,MIN
Quinton Patton,SFO
Justin Perillo,GNB
Terrelle Pryor,CLE
Brian Quick,STL
Rueben Randle,NYG
Jordan Reed,WAS
Paul Richardson,SEA
Andre Roberts,WAS
Seth Roberts,OAK
Allen Robinson,JAX
Denard Robinson,JAX
Jeremy Ross,2TM
Rashad Ross,WAS
Eddie Royal,CHI
Greg Salas,BUF
Emmanuel Sanders,DEN
Mohamed Sanu,CIN
Russell Shepard,TAM
Jerome Simpson,SFO
Devin Smith,NYJ
Kevin Smith,SEA
Steve Smith,BAL
Torrey Smith,SFO
Willie Snead,NOR
Darren Sproles,PHI
Kenny Stills,MIA
Rod Streater,OAK
Devin Street,DAL
Jaelen Strong,HOU
Brandon Tate,CIN
Golden Tate,DET
Adam Thielen,MIN
De'Anthony Thomas,KAN
Demaryius Thomas,DEN
Kenbrell Thompkins,NYJ
Deonte Thompson,CHI
Andrew Turzilli,TEN
Will Tye,NYG
Mike Wallace,MIN
Darren Waller,BAL
Bryan Walters,JAX
Nate Washington,HOU
Sammy Watkins,BUF
Eric Weems,ATL
Wes Welker,STL
Griff Whalen,IND
Markus Wheaton,PIT
DeAndrew White,SFO
Myles White,NYG
Roddy White,ATL
Lucky Whitehead,DAL
Kasen Williams,SEA
Michael Williams,NWE
Nick Williams,ATL
Terrance Williams,DAL
Tyrell Williams,SDG
Albert Wilson,KAN
Marquess Wilson,CHI
Robert Woods,BUF
Chandler Worthy,HOU
Jarius Wright,MIN
Kendall Wright,TEN
